,symbol,category,days_to_maturity,strike,ask,bid,volume,due_date,moneyness,Preco_ativo,Volatilidade Implicita(ask),Volatilidade Implicita(bid)
89,PETRB374,CALL,16,36.26,3.35,2.51,217500,2024-02-16,ATM,39.26,2.0,2.0
91,PETRB376,CALL,16,36.51,3.24,2.8,333700,2024-02-16,ATM,39.26,30.314596282873296,2.0
93,PETRB379,CALL,16,36.76,0.0,2.67,1286900,2024-02-16,ATM,39.26,-1.251121716216469,2.0
95,PETRB381,CALL,16,37.01,2.65,2.6,883200,2024-02-16,ATM,39.26,2.0,2.0
97,PETRB384,CALL,16,37.26,2.5,2.18,1300800,2024-02-16,ATM,39.26,25.11131095949373,2.0
99,PETRB386,CALL,16,37.51,2.44,1.9,1614200,2024-02-16,ATM,39.26,29.992273018286507,2.0
101,PETRB389,CALL,16,37.76,2.1,1.45,3334100,2024-02-16,ATM,39.26,24.836744131423032,2.0
103,PETRB380,CALL,16,38.01,2.05,1.7,3076300,2024-02-16,ATM,39.26,28.981140671455325,17.422120027095524
105,PETRB394,CALL,16,38.26,1.63,1.6,7676500,2024-02-16,ATM,39.26,21.52516858835913,20.583998290804004
107,PETRB38,CALL,16,38.51,1.43,1.27,5513500,2024-02-16,ATM,39.26,20.76204046103465,15.88840262223734
109,PETRB399,CALL,16,38.76,1.35,1.16,7185800,2024-02-16,ATM,39.26,23.08318805920634,17.820116615493376
111,PETRB390,CALL,16,39.01,1.15,1.08,8959900,2024-02-16,ATM,39.26,21.765723876258182,19.915751234271447
113,PETRB404,CALL,16,39.26,1.0,0.78,9933900,2024-02-16,ATM,39.26,21.521642249106364,15.852438407727293
115,PETRB395,CALL,16,39.51,0.85,0.65,4778300,2024-02-16,ATM,39.26,20.994013171709327,15.920644954390278
117,PETRB409,CALL,16,39.76,0.75,0.75,5109700,2024-02-16,ATM,39.26,21.441969055948263,21.441969055948263
