;symbol;Volatilidade Implicita(ask);Volatilidade Implicita(bid)
90;PETRN374;2.0;2.0
92;PETRN376;2.0;2.0
94;PETRN379;26.09394552516755;25.64746749942013
96;PETRN381;25.54680377513999;25.137427426927754
98;PETRN384;25.207276022781265;24.453325700339526
100;PETRN386;24.6620421457978;24.314405260854286
102;PETRN389;24.253966773160275;23.930478930386304
104;PETRN380;23.93550424356859;23.632412115352125
106;PETRN394;23.671132731037336;23.384582641165032
108;PETRN38;23.70822403359627;23.161190318791057
110;PETRN399;23.472090712518927;22.943599571787214
112;PETRN390;23.23459364649412;22.976412895699323
114;PETRN404;23.240611288663395;22.98531482143754
116;PETRN395;23.22732065900364;22.716316389202877
118;PETRN409;23.197906438316107;22.421370344076234
