Ticker;Tipo;Modelo;Strike;AOITM;dist. Strike;último;Var;data;Num.Nego;volume;vol.impli(site);Delta;gamma;theta;theta2;vega
PETRB374;;CALL;A;ITM;36,26;-5,00;6,16;2,35;51;129.705,00;23/01/2024;22,45;0,8582;0,1040;-0,0293;2,1602
PETRN374;✔;PUT;E;OTM;36,26;-5,00;0,58;0,22;369;1.387.722,00;23/01/2024;24,98;-0,1672;0,1042;-0,0157;2,4077
PETRB376;;CALL;E;ITM;36,51;-4,35;5,61;2,14;125;458.409,00;23/01/2024;22,95;0,8218;0,1182;-0,0316;2,5074
PETRN376;;PUT;E;OTM;36,51;-4,35;0,68;0,26;493;1.384.718,00;23/01/2024;24,63;-0,1928;0,1156;-0,0167;2,6336
PETRB379;;CALL;A;ITM;36,76;-3,69;5,06;1,93;1.686;2.630.749,00;23/01/2024;23,02;0,7861;0,1317;-0,0332;2,7994
PETRN379;✔;PUT;E;OTM;36,76;-3,69;0,79;0,30;747;1.879.566,00;23/01/2024;23,84;-0,2213;0,1297;-0,0172;2,8551
PETRB381;;CALL;E;ITM;37,01;-3,04;4,61;1,76;1.201;2.876.396,00;23/01/2024;24,02;0,7395;0,1407;-0,0357;3,1190
PETRN381;;PUT;E;OTM;37,01;-3,04;0,92;0,35;1.188;3.468.513,00;23/01/2024;23,38;-0,2525;0,1422;-0,0178;3,0703
PETRB384;;CALL;A;ITM;37,26;-2,38;4,06;1,55;1.682;2.690.712,00;23/01/2024;22,71;0,7130;0,1561;-0,0352;3,2725
PETRN384;✔;PUT;E;OTM;37,26;-2,38;1,07;0,41;718;2.443.007,00;23/01/2024;23,27;-0,2850;0,1517;-0,0185;3,2654
PETRB386;;CALL;E;ATM;37,51;-1,73;3,62;1,38;1.601;3.921.862,00;23/01/2024;21,83;0,6845;0,1693;-0,0349;3,4192
PETRN386;;PUT;E;ATM;37,51;-1,73;1,28;0,49;1.183;2.556.339,00;23/01/2024;23,25;-0,3248;0,1609;-0,0191;3,4607
PETRB389;;CALL;A;ATM;37,76;-1,07;3,22;1,23;3.466;8.260.687,00;23/01/2024;22,45;0,6338;0,1744;-0,0361;3,6173
PETRN389;✔;PUT;E;ATM;37,76;-1,07;1,55;0,59;2.089;6.920.971,00;23/01/2024;23,19;-0,3713;0,1696;-0,0194;3,6329
PETRB380;;CALL;E;ATM;38,01;-0,42;2,80;1,07;2.452;4.952.726,00;23/01/2024;22,23;0,5879;0,1822;-0,0359;3,7406
PETRN380;;PUT;E;ATM;38,01;-0,42;1,78;0,68;1.702;4.608.287,00;23/01/2024;22,95;-0,4124;0,1765;-0,0192;3,7421
PETRB394;;CALL;A;ATM;38,26;+0,24;2,33;0,89;1.508;5.354.275,00;23/01/2024;20,62;0,5494;0,1996;-0,0339;3,8075
PETRN394;✔;PUT;E;ATM;38,26;+0,24;2,10;0,80;1.625;4.582.744,00;23/01/2024;23,00;-0,4588;0,1795;-0,0189;3,8135
PETRB38;;CALL;E;ATM;38,51;+0,89;2,12;0,81;1.424;3.319.858,00;23/01/2024;22,18;0,4955;0,1871;-0,0350;3,8337
PETRN38;;PUT;E;ATM;38,51;+0,89;2,41;0,92;1.205;2.885.897,00;23/01/2024;23,26;-0,4979;0,1783;-0,0186;3,8369
PETRB399;;CALL;A;ATM;38,76;+1,55;1,91;0,73;1.456;4.585.622,00;23/01/2024;22,66;0,4564;0,1820;-0,0348;3,8141
PETRN399;✔;PUT;E;ATM;38,76;+1,55;2,72;1,04;1.921;7.267.975,00;23/01/2024;22,58;-0,5474;0,1825;-0,0166;3,8078
PETRB390;;CALL;E;OTM;39,01;+2,20;1,60;0,61;1.238;3.161.345,00;23/01/2024;22,18;0,4098;0,1822;-0,0329;3,7385
PETRN390;;PUT;E;ITM;39,01;+2,20;3,14;1,20;877;793.319,00;23/01/2024;22,77;-0,5926;0,1773;-0,0154;3,7301
PETRB404;;CALL;A;OTM;39,26;+2,86;1,31;0,50;596;2.032.069,00;23/01/2024;21,86;0,3603;0,1781;-0,0307;3,5972
PETRN404;;PUT;E;ITM;39,26;+2,86;3,51;1,34;90;227.251,00;23/01/2024;22,63;-0,6327;0,1731;-0,0137;3,6218
PETRB395;;CALL;E;OTM;39,51;+3,51;1,07;0,41;408;1.005.127,00;23/01/2024;21,54;0,3153;0,1716;-0,0284;3,4164
PETRN395;;PUT;E;ITM;39,51;+3,51;3,96;1,51;220;379.152,00;23/01/2024;22,71;-0,6731;0,1652;-0,0119;3,4689
PETRB409;;CALL;A;OTM;39,76;+4,17;0,92;0,35;705;1.650.065,00;23/01/2024;21,80;0,2779;0,1600;-0,0267;3,2241
PETRN409;;PUT;E;ITM;39,76;+4,17;4,43;1,69;237;360.079,00;23/01/2024;22,81;-0,7109;0,1558;-0,0100;3,2866
PETRB400;;CALL;E;OTM;40,01;+4,82;0,76;0,29;320;520.385,00;23/01/2024;21,89;0,2404;0,1479;-0,0246;2,9902
PETRN400;;PUT;E;ITM;40,01;+4,82;4,93;1,88;200;253.523,00;23/01/2024;23,20;-0,7417;0,1449;-0,0085;3,1091
